term,estimate,std.error,statistic,p.value,month,variable
dateN,7.190944274595722e-6,1.3941937826414712e-5,5787,1.7884133663700926e-4,1,vpdmin
dateN,2.639917240993915e-6,2.1717026141109008e-5,4170,0.9587537773674106,2,vpdmin
dateN,1.3152895235189786e-5,3.3946047165945e-5,4989,0.016140269919272705,3,vpdmin
dateN,-2.934222972223205e-5,3.189850358717018e-5,2190,1.0468889976290653e-5,4,vpdmin
dateN,-3.1549312183332994e-6,5.942071744895164e-5,3993,0.9864010091931111,5,vpdmin
dateN,3.48934815256104e-5,8.861050978075893e-5,5838,7.713027949397234e-6,6,vpdmin
dateN,-3.386215172586726e-5,6.917020939992331e-5,2727,0.0019372445799806237,7,vpdmin
dateN,1.5368352219064735e-5,5.570166079982782e-5,5277,0.00189020719865563,8,vpdmin
dateN,-1.1327572548251372e-5,9.937204729875859e-5,3705,0.4725664610907763,9,vpdmin
dateN,-1.6579639142877543e-6,3.061389773405568e-5,3831,0.6806984272825487,10,vpdmin
dateN,1.3249478168757327e-5,3.784742834140399e-5,4743,0.07080704134073013,11,vpdmin
dateN,8.794068914062918e-6,1.9604825980682126e-5,5694,3.7493332984734656e-5,12,vpdmin
